v,p,t,w,a,h,cruise
183.78642,16.74089,-13.69508,39026.97656,4.44165,15473.70312,0
182.80542,16.74101,-13.69472,39026.76953,4.5259,15473.51758,0
181.82385,16.74114,-13.69435,39026.5625,4.61156,15473.33203,0
180.84111,16.74127,-13.69398,39026.35156,4.69851,15473.14453,0
179.85806,16.74139,-13.69361,39026.14453,4.78712,15472.95508,0
178.87488,16.74153,-13.69322,39025.9375,4.87704,15472.76465,0
177.89101,16.74166,-13.69284,39025.73438,4.96897,15472.56934,0
176.90511,16.74179,-13.69245,39025.52344,5.06219,15472.37207,0
175.91814,16.74193,-13.69205,39025.3125,5.15733,15472.16992,0
174.93314,16.74207,-13.69162,39025.10547,5.2108,15471.95215,0
173.97037,16.74233,-13.69087,39024.89844,5.25198,15471.57129,0
173.03633,16.74284,-13.6894,39024.69141,5.30142,15470.82031,0
172.14389,16.7437,-13.68687,39024.48438,5.35605,15469.53711,0
171.29971,16.74501,-13.68304,39024.27344,5.4165,15467.58984,0
170.50473,16.74684,-13.67772,39024.06641,5.48267,15464.89062,0
169.76773,16.74921,-13.6708,39023.85547,5.55191,15461.38281,0
169.08411,16.75214,-13.66224,39023.64844,5.62566,15457.0459,0
168.45294,16.75563,-13.65206,39023.44141,5.70133,15451.89258,0
167.87083,16.75965,-13.64032,39023.23438,5.77883,15445.94629,0
167.33687,16.76416,-13.62716,39023.02344,5.85625,15439.28516,0
166.84009,16.76912,-13.6127,39022.81641,5.93421,15431.96875,0
166.37904,16.77446,-13.59714,39022.60938,6.01037,15424.0918,0
165.94156,16.7801,-13.58067,39022.39844,6.08629,15415.76172,0
165.52502,16.786,-13.56347,39022.19141,6.15942,15407.0625,0
165.12212,16.79208,-13.54575,39021.98828,6.2306,15398.09961,0
164.72662,16.79828,-13.52768,39021.78125,6.29948,15388.95898,0
164.33481,16.80453,-13.50943,39021.57031,6.36578,15379.73145,0
163.93417,16.81081,-13.49113,39021.36328,6.43168,15370.4834,0
163.52908,16.81704,-13.47298,39021.15625,6.49386,15361.30566,0
163.11621,16.82319,-13.45506,39020.94531,6.55415,15352.24707,0
162.68593,16.82924,-13.43744,39020.73828,6.6148,15343.33789,0
162.24496,16.83514,-13.42022,39020.52734,6.6727,15334.63574,0
161.78514,16.84092,-13.40339,39020.32031,6.73173,15326.13477,0
161.81418,16.8465,-13.38715,39020.02734,6.66051,15317.9248,0
163.52119,16.85155,-13.37243,39019.23828,6.24827,15310.49414,0
165.31709,16.85561,-13.36059,39018.30859,6.09254,15304.52734,0
166.75468,16.85828,-13.35282,39017.42578,5.98286,15300.62305,0
168.00577,16.85937,-13.34966,39016.55078,5.85256,15299.05176,0
169.08958,16.85884,-13.35119,39015.67969,5.72304,15299.85059,0
170.0162,16.85677,-13.35723,39014.80078,5.59533,15302.9248,0
170.80913,16.85323,-13.36752,39013.92578,5.47027,15308.15039,0
171.48558,16.84833,-13.38182,39013.05078,5.34922,15315.39648,0
172.05551,16.84226,-13.39948,39012.18359,5.23396,15324.34668,0
172.54128,16.8352,-13.42006,39011.30469,5.12483,15334.77441,0
172.961,16.82725,-13.44323,39010.42578,5.02272,15346.48926,0
173.32797,16.81875,-13.46799,39009.55469,4.92845,15359.0293,0
