,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133425800-0500:,68.96745,30.0939,24.02563,866.0307,2717.90112, 
:2020-02-08 133426000-0500:,69.36436,30.09398,24.02578,865.95703,2717.88428, 
:2020-02-08 133426200-0500:,69.75901,30.09404,24.0259,865.89716,2717.88428, 
:2020-02-08 133426400-0500:,70.14953,30.09408,24.02598,865.85986,2717.88428, 
:2020-02-08 133426600-0500:,70.53786,30.0941,24.02601,865.84821,2717.88428, 
:2020-02-08 133426800-0500:,70.92409,30.09409,24.02599,865.8623,2717.88428, 
:2020-02-08 133427000-0500:,71.30063,30.09405,24.02592,865.89624,2717.86646, 
:2020-02-08 133427200-0500:,71.67896,30.09402,24.02585,865.93176,2717.86646, 
:2020-02-08 133427400-0500:,72.04781,30.09399,24.0258,865.9538,2717.86646, 
:2020-02-08 133427600-0500:,72.4129,30.09399,24.0258,865.95111,2717.86646, 
:2020-02-08 133427800-0500:,72.75572,30.09402,24.02585,865.92517,2717.86646, 
:2020-02-08 133428000-0500:,73.08213,30.09406,24.02594,865.88013,2717.84937, 
:2020-02-08 133428200-0500:,,,,,,
:2020-02-08 133428400-0500:,,,,,,
:2020-02-08 133428600-0500:,,,,,,
:2020-02-08 133428800-0500:,,,,,,
:2020-02-08 133429000-0500:,,,,,,
:2020-02-08 133429200-0500:,,,,,,
:2020-02-08 133429400-0500:,,,,,,
:2020-02-08 133429600-0500:,,,,,,
:2020-02-08 133429800-0500:,,,,,,
:2020-02-08 133430000-0500:,,,,,,
:2020-02-08 133430200-0500:,,,,,,
:2020-02-08 133430400-0500:,,,,,,
:2020-02-08 133430600-0500:,,,,,,
:2020-02-08 133430800-0500:,,,,,,
:2020-02-08 133431000-0500:,,,,,,
:2020-02-08 133431200-0500:,,,,,,
:2020-02-08 133431400-0500:,,,,,,
:2020-02-08 133431600-0500:,,,,,,
:2020-02-08 133431800-0500:,,,,,,
:2020-02-08 133432000-0500:,,,,,,
:2020-02-08 133432200-0500:,,,,,,
:2020-02-08 133432400-0500:,,,,,,
:2020-02-08 133432600-0500:,,,,,,
:2020-02-08 133432800-0500:,,,,,,
:2020-02-08 133433000-0500:,,,,,,
:2020-02-08 133433200-0500:,,,,,,
:2020-02-08 133433400-0500:,,,,,,
:2020-02-08 133433600-0500:,,,,,,
:2020-02-08 133433800-0500:,,,,,,
:2020-02-08 133434000-0500:,,,,,,
:2020-02-08 133434200-0500:,,,,,,
:2020-02-08 133434400-0500:,,,,,,
:2020-02-08 133434600-0500:,,,,,,
:2020-02-08 133434800-0500:,,,,,,
:2020-02-08 133435000-0500:,,,,,,
:2020-02-08 133435200-0500:,,,,,,
:2020-02-08 133435400-0500:,,,,,,
:2020-02-08 133435600-0500:,,,,,,
:2020-02-08 133435800-0500:,,,,,,
:2020-02-08 133436000-0500:,,,,,,
:2020-02-08 133436200-0500:,,,,,,
:2020-02-08 133436400-0500:,,,,,,
:2020-02-08 133436600-0500:,,,,,,
:2020-02-08 133436800-0500:,,,,,,
:2020-02-08 133437000-0500:,,,,,,
:2020-02-08 133437200-0500:,,,,,,
:2020-02-08 133437400-0500:,,,,,,
:2020-02-08 133437600-0500:,,,,,,
:2020-02-08 133437800-0500:,,,,,,
:2020-02-08 133438000-0500:,,,,,,
:2020-02-08 133438200-0500:,,,,,,
:2020-02-08 133438400-0500:,,,,,,
:2020-02-08 133438600-0500:,,,,,,
:2020-02-08 133438800-0500:,,,,,,
:2020-02-08 133439000-0500:,,,,,,
:2020-02-08 133439200-0500:,,,,,,
