,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
:2020-02-08 133439800-0500:,,,,,,
