#v_a,w,h
:2005-08-06 131110000-0400:181.08,16793.98,22970.79
:2005-08-06 131120000-0400:181.09,16790.25,22970.79
:2005-08-06 131130000-0400:181.09,16790.25,22971.68
:2005-08-06 131140000-0400:181.09,16786.20,22971.68
:2005-08-06 131150000-0400:182.02,16786.20,22971.68
:2005-08-06 131200000-0400:182.02,16784.23,22972.57
:2005-08-06 131210000-0400:182.03,16782.16,22972.57
:2005-08-06 131220000-0400:182.03,16782.16,22973.46
:2005-08-06 131230000-0400:182.04,16778.84,22973.46
:2005-08-06 131240000-0400:182.04,16778.84,22974.35
:2005-08-06 131250000-0400:182.04,16776.97,22974.35
:2005-08-06 131300000-0400:182.05,16774.90,22974.35
:2005-08-06 131310000-0400:182.05,16774.90,22975.24
:2005-08-06 131320000-0400:182.06,16771.68,22975.24
:2005-08-06 131330000-0400:182.06,16771.68,22976.13
:2005-08-06 131340000-0400:182.06,16767.43,22976.13
:2005-08-06 131350000-0400:182.06,16767.43,22976.13
:2005-08-06 131400000-0400:182.06,16765.56,23011.97
:2005-08-06 131410000-0400:182.07,16764.00,23011.97
:2005-08-06 131420000-0400:182.07,16764.00,22984.90
:2005-08-06 131430000-0400:181.93,16760.27,22984.90
:2005-08-06 131440000-0400:181.93,16760.27,22978.80
:2005-08-06 131450000-0400:181.94,16758.61,22978.80
:2005-08-06 131500000-0400:181.94,16756.74,22978.80
:2005-08-06 131510000-0400:182.41,16756.74,23007.65
:2005-08-06 131520000-0400:182.41,16752.90,23007.65
:2005-08-06 131530000-0400:182.41,16752.90,23022.52
:2005-08-06 131540000-0400:183.03,16748.76,23022.52
:2005-08-06 131550000-0400:183.03,16748.76,23023.41
:2005-08-06 131600000-0400:183.11,16746.99,23023.41
:2005-08-06 131610000-0400:183.11,16745.23,23023.41
:2005-08-06 131620000-0400:183.88,16745.23,23017.31
:2005-08-06 131630000-0400:183.88,16741.80,23017.31
:2005-08-06 131640000-0400:183.88,16741.80,22983.24
:2005-08-06 131650000-0400:184.12,16739.52,22983.24
:2005-08-06 131700000-0400:184.12,16737.34,22984.13
:2005-08-06 131710000-0400:184.43,16737.34,22984.13
:2005-08-06 131720000-0400:184.43,16734.02,22984.13
:2005-08-06 131730000-0400:184.21,16734.02,22992.01
:2005-08-06 131740000-0400:184.21,16729.46,22992.01
:2005-08-06 131750000-0400:184.21,16729.46,23027.86
:2005-08-06 131800000-0400:184.45,16728.01,23027.86
:2005-08-06 131810000-0400:184.45,16726.45,23014.76
:2005-08-06 131820000-0400:184.31,16726.45,23014.76
:2005-08-06 131830000-0400:184.31,16722.61,23014.76
:2005-08-06 131840000-0400:183.03,16722.61,22987.69
:2005-08-06 131850000-0400:183.03,16720.64,22987.69
:2005-08-06 131900000-0400:183.03,16718.88,22988.58
:2005-08-06 131910000-0400:182.20,16718.88,22988.58
:2005-08-06 131920000-0400:182.20,16715.35,22988.58
:2005-08-06 131930000-0400:182.44,16715.35,22989.47
:2005-08-06 131940000-0400:182.44,16712.03,22989.47
:2005-08-06 131950000-0400:182.67,16712.03,22990.36
:2005-08-06 132000000-0400:182.67,16710.06,22990.36
:2005-08-06 132010000-0400:179.49,16708.30,22991.25
:2005-08-06 132020000-0400:179.49,16708.30,22991.25
:2005-08-06 132030000-0400:173.28,16707.26,22991.25
:2005-08-06 132040000-0400:166.25,16707.26,22992.14
:2005-08-06 132050000-0400:160.49,16707.26,22992.14
:2005-08-06 132100000-0400:160.49,16706.54,22804.27
:2005-08-06 132110000-0400:165.07,16706.54,22804.27
:2005-08-06 132120000-0400:165.07,16705.19,22238.81
:2005-08-06 132130000-0400:171.84,16705.19,22238.81
:2005-08-06 132140000-0400:176.63,16702.18,21702.63
:2005-08-06 132150000-0400:176.63,16702.18,21702.63
:2005-08-06 132200000-0400:176.63,16702.18,21166.46
:2005-08-06 132210000-0400:173.08,16702.18,21166.46
:2005-08-06 132220000-0400:172.00,16702.18,20569.00
:2005-08-06 132230000-0400:179.46,16702.49,19770.08
:2005-08-06 132240000-0400:185.63,16702.49,19315.87
:2005-08-06 132250000-0400:185.63,16702.49,19315.87
:2005-08-06 132300000-0400:183.66,16702.49,18938.91
:2005-08-06 132310000-0400:183.66,16702.49,18526.19
:2005-08-06 132320000-0400:177.34,16702.49,18111.62
:2005-08-06 132330000-0400:176.37,16702.49,18111.62
:2005-08-06 132340000-0400:176.37,16702.49,17539.89
:2005-08-06 132350000-0400:174.10,16702.49,17539.89
:2005-08-06 132400000-0400:174.10,16702.49,16922.54
:2005-08-06 132410000-0400:168.96,16702.49,16407.78
:2005-08-06 132420000-0400:168.96,16702.49,16407.78
:2005-08-06 132430000-0400:168.50,16702.49,15918.80
:2005-08-06 132440000-0400:161.60,16702.49,15918.80
:2005-08-06 132450000-0400:154.76,16702.49,15500.22
:2005-08-06 132500000-0400:148.78,16702.49,15500.22
:2005-08-06 132510000-0400:144.90,16702.49,15088.64
:2005-08-06 132520000-0400:144.90,16702.49,15088.64
:2005-08-06 132530000-0400:143.18,16702.49,14598.39
:2005-08-06 132540000-0400:143.18,16701.24,14598.39
:2005-08-06 132550000-0400:146.82,16701.24,14069.36
:2005-08-06 132600000-0400:146.82,16701.24,14069.36
:2005-08-06 132610000-0400:146.82,16701.24,13558.35
:2005-08-06 132620000-0400:146.35,16701.24,13558.35
:2005-08-06 132630000-0400:146.35,16701.24,13055.74
:2005-08-06 132640000-0400:145.55,16701.24,13055.74
:2005-08-06 132650000-0400:145.55,16701.24,12603.38
:2005-08-06 132700000-0400:151.23,16701.24,12603.38
:2005-08-06 132710000-0400:151.23,16701.24,12040.71
:2005-08-06 132720000-0400:151.23,16701.24,11514.11
:2005-08-06 132730000-0400:149.18,16701.24,11514.11
:2005-08-06 132740000-0400:145.65,16701.24,10854.03
:2005-08-06 132750000-0400:151.96,16701.24,10854.03
:2005-08-06 132800000-0400:151.96,16701.24,10626.14
:2005-08-06 132810000-0400:152.74,16701.24,10626.14
:2005-08-06 132820000-0400:141.40,16701.24,10278.77
:2005-08-06 132830000-0400:141.40,16701.24,10278.77
:2005-08-06 132840000-0400:141.41,16701.24,9839.23
:2005-08-06 132850000-0400:141.41,16701.24,9839.23
:2005-08-06 132900000-0400:140.28,16701.24,9336.76
:2005-08-06 132910000-0400:140.28,16701.24,9336.76
:2005-08-06 132920000-0400:140.28,16701.24,9336.76
:2005-08-06 132930000-0400:138.55,16701.24,8925.18
:2005-08-06 132940000-0400:138.55,16701.24,8925.18
:2005-08-06 132950000-0400:142.62,16701.24,8440.81
:2005-08-06 133000000-0400:142.62,16701.24,8440.81
:2005-08-06 133010000-0400:144.37,16701.24,7920.10
:2005-08-06 133020000-0400:144.37,16701.24,7920.10
:2005-08-06 133030000-0400:139.50,16701.24,7616.17
:2005-08-06 133040000-0400:139.50,16701.24,7616.17
:2005-08-06 133050000-0400:140.65,16701.24,7616.17
:2005-08-06 133100000-0400:135.00,16701.24,6992.06
:2005-08-06 133110000-0400:135.00,16701.24,6992.06
:2005-08-06 133120000-0400:132.82,16701.24,6455.97
:2005-08-06 133130000-0400:133.19,16701.24,6455.97
:2005-08-06 133140000-0400:133.19,16701.24,6039.05
:2005-08-06 133150000-0400:133.19,16701.24,5542.72
:2005-08-06 133200000-0400:135.08,16701.24,5542.72
:2005-08-06 133210000-0400:135.08,16701.24,4974.47
:2005-08-06 133220000-0400:130.93,16701.24,4974.47
:2005-08-06 133230000-0400:129.33,16701.24,4420.19
:2005-08-06 133240000-0400:129.33,16701.24,4420.19
:2005-08-06 133250000-0400:130.48,16700.00,4420.19
:2005-08-06 133300000-0400:130.48,16700.00,3875.63
