   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
262.99472,18.7315,-7.98716,0.08855,38918.61328
262.86688,18.732,-7.98574,0.10746,38917.96875
262.73877,18.73253,-7.98427,0.12229,38917.33984
262.60486,18.73298,-7.98299,0.13111,38916.70312
243.8139,18.74148,-7.95905,0.75032,38914.125
244.02299,18.74469,-7.95,0.84489,38913.48047
244.16287,18.74729,-7.94268,0.81722,38912.20703
244.12695,18.74676,-7.94417,0.76129,38911.57031
244.05263,18.74544,-7.94787,0.69916,38910.92188
243.96919,18.74374,-7.95268,0.64658,38910.28516
243.89227,18.74199,-7.95762,0.61219,38909.66406
243.83714,18.74042,-7.96202,0.59521,38909.02734
243.80496,18.73917,-7.96556,0.59365,38908.39062
243.79343,18.73825,-7.96815,0.60144,38907.75
243.79829,18.73761,-7.96995,0.61422,38907.11328
243.81384,18.73718,-7.97115,0.62702,38906.46875
243.83659,18.73689,-7.97198,0.6377,38905.82422
243.86029,18.73665,-7.97265,0.6443,38905.17969
243.88235,18.73642,-7.9733,0.64735,38904.55078
243.89938,18.73618,-7.97398,0.64749,38903.91406
234.67854,18.73986,-7.9636,1.01093,38902.00781
234.90706,18.74169,-7.95846,1.08281,38901.37109
235.06793,18.74273,-7.95552,1.08404,38900.74219
235.17567,18.74293,-7.95497,1.04934,38900.11328
235.24352,18.74244,-7.95634,1.00264,38899.46484
235.29242,18.74152,-7.95894,0.9587,38898.82422
235.33553,18.74041,-7.96205,0.92576,38898.17969
235.38504,18.7393,-7.96519,0.90474,38897.54688
235.4454,18.73829,-7.96803,0.89419,38896.91016
235.5139,18.73745,-7.97041,0.89125,38896.26953
235.59518,18.73677,-7.97232,0.89243,38895.62891
235.68054,18.73623,-7.97382,0.89515,38895
235.77611,18.73582,-7.97501,0.89773,38894.36719
235.87436,18.73547,-7.97597,0.89937,38893.72656
235.97337,18.73518,-7.97678,0.89884,38893.08594
236.07382,18.73493,-7.97751,0.89766,38892.44922
236.17215,18.73469,-7.97817,0.89493,38891.79688
236.27298,18.73447,-7.97879,0.89174,38891.15234
236.37271,18.73427,-7.97937,0.88846,38890.51562
236.47145,18.73407,-7.97992,0.88449,38889.86719
236.57263,18.73389,-7.98042,0.88117,38889.23047
236.67212,18.73373,-7.98088,0.87762,38888.59375
236.77087,18.73358,-7.98129,0.87429,38887.95312
