#vw,aw,true_va,va,aa,true_vg,vg,ag,true_aoa,aoa
:2019-06-07 000730000-0400:10.000,290.51855,109.37327,109.37327,1.43854,111.42393,0,-10.5139,-0.71004,-0.71004
:2019-06-07 000731000-0400:10.000,290.51855,109.31852,109.31852,1.43778,111.36855,0,-10.46029,-0.70707,-0.70707
:2019-06-07 000732000-0400:10.000,290.51859,109.26536,109.26536,1.43743,111.315,0,-10.40785,-0.70416,-0.70416
:2019-06-07 000733000-0400:10.000,290.51859,109.2139,109.2139,1.43733,111.26324,0,-10.35721,-0.70134,-0.70134
:2019-06-07 000734000-0400:10.000,290.51859,109.16431,109.16431,1.43735,111.21339,0,-10.30793,-0.69859,-0.69859
:2019-06-07 000735000-0400:10.000,290.51862,109.11658,109.11658,1.43739,111.16539,0,-10.2609,-0.69597,-0.69597
:2019-06-07 000736000-0400:10.000,290.51862,109.0688,109.0688,1.43738,111.11742,0,-10.20786,-0.69339,-0.69339
:2019-06-07 000737000-0400:10.000,290.51862,109.02402,109.02402,1.4423,111.06821,0,-9.82783,-0.69034,-0.69034
:2019-06-07 000738000-0400:10.000,290.51865,108.98121,108.98121,1.36475,111.01171,0,-9.87142,-0.68852,-0.68852
:2019-06-07 000739000-0400:10.000,290.51865,108.93894,108.93894,1.25165,110.94917,0,-9.86447,-0.68625,-0.68625
:2019-06-07 000740000-0400:10.000,290.51865,108.898,108.898,1.11417,110.88512,0,-9.88642,-0.68363,-0.68363
:2019-06-07 000741000-0400:10.000,290.51868,108.85836,108.85836,0.97299,110.82239,0,-9.90603,-0.68108,-0.68108
:2019-06-07 000742000-0400:10.000,290.51868,108.81996,108.81996,0.84234,110.76299,0,-9.91656,-0.67874,-0.67874
:2019-06-07 000743000-0400:10.000,290.51868,108.78332,108.78332,0.732,110.70888,0,-9.92029,-0.67667,-0.67667
:2019-06-07 000744000-0400:10.000,290.51871,108.74837,108.74837,0.64665,110.66049,0,-9.90981,-0.67481,-0.67481
:2019-06-07 000745000-0400:10.000,290.51871,108.71496,108.71496,0.58521,110.61758,0,-9.89029,-0.6731,-0.6731
:2019-06-07 000746000-0400:10.000,290.51871,108.68305,108.68305,0.54487,110.57948,0,-9.86124,-0.67146,-0.67146
:2019-06-07 000747000-0400:10.000,290.51874,108.65266,108.65266,0.52092,110.54543,0,-9.82751,-0.66988,-0.66988
:2019-06-07 000748000-0400:10.000,290.51874,108.62323,108.62323,0.5082,110.51392,0,-9.79107,-0.66833,-0.66833
:2019-06-07 000749000-0400:10.000,290.51874,108.59522,108.59522,0.5021,110.48497,0,-9.75796,-0.66685,-0.66685
:2019-06-07 000750000-0400:10.000,290.51877,108.56766,108.56766,0.49842,110.45699,0,-9.73103,-0.66537,-0.66537
:2019-06-07 000751000-0400:10.000,290.51877,108.54199,108.54199,0.49674,110.43073,0,-9.69698,-0.66397,-0.66397
:2019-06-07 000752000-0400:10.000,290.51877,108.51696,108.51696,0.49352,110.40506,0,-9.67162,-0.66258,-0.66258
:2019-06-07 000753000-0400:10.000,290.5188,108.493,108.493,0.48931,110.38038,0,-9.64626,-0.66124,19.33876
:2019-06-07 000754000-0400:10.000,290.5188,108.47002,108.47002,0.48363,110.35645,0,-9.62495,-0.65995,19.34005
:2019-06-07 000755000-0400:10.000,290.5188,108.4477,108.4477,0.47706,110.33299,0,-9.60429,-0.65867,19.34133
:2019-06-07 000756000-0400:10.000,290.51883,108.42626,108.42626,0.47011,110.31031,0,-9.58539,-0.65745,19.34255
:2019-06-07 000757000-0400:10.000,290.51883,108.40575,108.40575,0.4634,110.28863,0,-9.56738,-0.65629,19.34371
:2019-06-07 000758000-0400:10.000,290.51883,108.38563,108.38563,0.45723,110.26763,0,-9.54976,-0.65516,19.34484
:2019-06-07 000759000-0400:10.000,290.51883,108.36669,108.36669,0.45204,110.24785,0,-9.53251,-0.65408,19.34592
:2019-06-07 000760000-0400:10.000,290.51886,108.34831,108.34831,0.4478,110.22871,0,-9.51567,-0.65306,19.34694
:2019-06-07 000761000-0400:10.000,290.51886,108.33046,108.33046,0.44453,110.21047,0,-9.49904,-0.65207,19.34793
:2019-06-07 000762000-0400:10.000,290.51886,108.31361,108.31361,0.44215,110.19321,0,-9.48283,-0.65112,19.34888
:2019-06-07 000763000-0400:10.000,290.51889,108.29722,108.29722,0.44044,110.17645,0,-9.46679,-0.6502,19.3498
:2019-06-07 000764000-0400:10.000,290.51889,108.28149,108.28149,0.43927,110.16052,0,-9.4516,-0.64934,19.35066
:2019-06-07 000765000-0400:10.000,290.51889,108.2663,108.2663,0.43844,110.14533,0,-9.43683,-0.6485,19.3515
:2019-06-07 000766000-0400:10.000,290.51892,108.25186,108.25186,0.43783,110.13067,0,-9.42266,-0.64769,19.35231
:2019-06-07 000767000-0400:10.000,290.51892,108.23785,108.23785,0.43733,110.11662,0,-9.40826,-0.64691,19.35309
:2019-06-07 000768000-0400:10.000,290.51892,108.22453,108.22453,0.43686,110.1031,0,-9.39456,-0.64615,19.35385
:2019-06-07 000769000-0400:10.000,290.51895,108.21165,108.21165,0.43607,110.09014,0,-9.38327,-0.64544,19.35456
:2019-06-07 000770000-0400:10.000,290.51895,108.19914,108.19914,0.43533,110.07745,0,-9.37149,-0.64475,19.35525
:2019-06-07 000771000-0400:10.000,290.51895,108.18723,108.18723,0.43464,110.06549,0,-9.36025,-0.64407,19.35593
:2019-06-07 000772000-0400:10.000,290.51898,108.17582,108.17582,0.43412,110.05402,0,-9.34946,-0.64344,19.35656
:2019-06-07 000773000-0400:10.000,290.51898,108.16473,108.16473,0.43372,110.04279,0,-9.33894,-0.64282,19.35718
:2019-06-07 000774000-0400:10.000,290.51898,108.15413,108.15413,0.43349,110.03217,0,-9.32857,-0.64222,19.35778
:2019-06-07 000775000-0400:10.000,290.51901,108.14377,108.14377,0.43337,110.0219,0,-9.31854,-0.64163,19.35837
:2019-06-07 000776000-0400:10.000,290.51901,108.13394,108.13394,0.43333,110.01202,0,-9.30905,-0.64109,19.35891
:2019-06-07 000777000-0400:10.000,290.51901,108.12452,108.12452,0.43333,110.00265,0,-9.30023,-0.64059,19.35941
:2019-06-07 000778000-0400:10.000,290.51904,108.11546,108.11546,0.43334,109.99361,0,-9.29197,-0.64011,19.35989
:2019-06-07 000779000-0400:10.000,290.51904,108.10679,108.10679,0.43337,109.98487,0,-9.28327,-0.63962,19.36038
:2019-06-07 000780000-0400:10.000,290.51904,108.09857,108.09857,0.43334,109.97658,0,-9.27535,-0.63915,19.36085
:2019-06-07 000781000-0400:10.000,290.51907,108.09045,108.09045,0.43333,109.96842,0,-9.2675,-0.6387,19.3613
:2019-06-07 000782000-0400:10.000,290.51907,108.08263,108.08263,0.4333,109.96072,0,-9.26012,-0.63827,19.36173
:2019-06-07 000783000-0400:10.000,290.51907,108.07507,28.0995182,0.43321,109.9532,0,-9.25303,-0.63786,-0.63786
:2019-06-07 000784000-0400:10.000,290.51907,108.06779,27.0169475,0.43311,109.94613,0,-9.24648,-0.63747,-0.63747
:2019-06-07 000785000-0400:10.000,290.5191,108.06097,23.7734134,0.43302,109.93918,0,-9.23995,-0.63709,-0.63709
:2019-06-07 000786000-0400:10.000,290.5191,108.05456,25.9330944,0.43293,109.93259,0,-9.23372,-0.63673,-0.63673
:2019-06-07 000787000-0400:10.000,290.5191,108.04808,35.6558664,0.43285,109.92626,0,-9.22766,-0.63637,-0.63637
:2019-06-07 000788000-0400:10.000,290.51917,108.04216,35.6539128,0.43285,109.92019,0,-9.22201,-0.63604,-0.63604
:2019-06-07 000789000-0400:10.000,290.51917,108.0364,24.848372,0.43283,109.91435,0,-9.2166,-0.63573,-0.63573
:2019-06-07 000790000-0400:10.000,290.51917,108.03069,32.409207,0.43282,109.90869,0,-9.21114,-0.63541,-0.63541
:2019-06-07 000791000-0400:10.000,290.51917,108.02527,32.407581,0.43281,109.90337,0,-9.20617,-0.63512,-0.63512
:2019-06-07 000792000-0400:10.000,290.51917,108.02013,25.9248312,0.4328,109.89824,0,-9.20136,-0.63484,-0.63484
:2019-06-07 000793000-0400:10.000,290.51917,108.01495,30.244186,0.43279,109.89334,0,-9.19695,-0.63459,-0.63459
:2019-06-07 000794000-0400:10.000,290.5192,108.01047,24.8424081,0.43283,109.88853,0,-9.19234,-0.63432,-0.63432
:2019-06-07 000795000-0400:10.000,290.5192,108.00562,27.001405,0.43291,109.88383,0,-9.18817,-0.63409,-0.63409
:2019-06-07 000796000-0400:10.000,290.5192,108.00125,28.080325,0.43297,109.87938,0,-9.18411,-0.63385,-0.63385
:2019-06-07 000797000-0400:10.000,290.51923,107.99692,34.5590144,0.43303,109.87508,0,-9.17977,-0.6336,-0.6336
:2019-06-07 000798000-0400:10.000,290.51923,107.99271,25.9182504,0.43304,109.87086,0,-9.176,-0.63339,-0.63339
:2019-06-07 000799000-0400:10.000,290.51923,107.98893,23.7575646,0.43301,109.86709,0,-9.1724,-0.63317,-0.63317
:2019-06-07 000800000-0400:10.000,290.51926,107.98531,30.2358868,0.43301,109.86343,0,-9.16912,-0.63299,-0.63299
:2019-06-07 000801000-0400:10.000,290.51926,107.98173,34.5541536,0.43299,109.85987,0,-9.16603,-0.63281,-0.63281
:2019-06-07 000802000-0400:10.000,290.51926,107.97836,35.6328588,0.43299,109.85631,0,-9.16292,-0.63263,-0.63263
:2019-06-07 000803000-0400:10.000,290.51929,107.97479,32.392437,0.43297,109.85276,0,-9.15971,-0.63244,-0.63244
:2019-06-07 000804000-0400:10.000,290.51929,107.97134,30.2319752,0.43296,109.84949,0,-9.15645,-0.63226,-0.63226
:2019-06-07 000805000-0400:10.000,290.51929,107.96831,21.593662,0.43295,109.84643,0,-9.15368,-0.6321,-0.6321
