time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5747.351,28.9514,29.179476,29.611128,0.011311931,42.737717,-73.80428,0.2989835,279.28113,374.00003,286.51132,2299.5115,0.0032480857,615.31006
5747.5513,29.778027,30.009924,29.611134,0.011318118,42.737743,-73.80428,0.30483747,279.278,374.00003,286.51132,2299.5115,0.0032480857,600.9539
5747.751,30.594463,30.830301,29.611135,0.011323663,42.73777,-73.80428,0.31081247,279.2752,374.00003,286.49213,2299.4924,0.0032480857,602.82367
5747.95,31.40545,31.645714,29.611149,0.011352128,42.7378,-73.80429,0.31692305,279.2608,374.00003,286.49213,2299.4924,0.0032480857,592.18884
5748.15,32.2114,32.454105,29.611166,0.011378961,42.73783,-73.80429,0.32340065,279.24725,374.00003,286.49213,2299.4924,0.0032480857,593.6407
5748.3496,33.01268,33.25642,29.611187,0.011425001,42.73786,-73.80429,0.32313886,279.22397,374.00003,286.49213,2299.4924,0.0032480857,588.8993
5748.55,33.805954,34.05254,29.611208,0.011461239,42.737892,-73.8043,0.3326683,279.20563,374.00003,286.49213,2299.4924,0.0032480857,578.03375
5748.7495,34.59178,34.839287,29.611227,0.011508566,42.737923,-73.8043,0.32193017,279.1817,374.00003,286.4726,2299.4727,0.0032480857,582.4429
5748.949,35.36715,35.623608,29.611242,0.011537527,42.737957,-73.8043,0.33390945,279.16705,374.00003,286.4726,2299.4727,0.0032480857,555.7139
5749.1494,36.1396,36.394733,29.611256,0.01156322,42.737988,-73.804306,0.31817362,279.15408,374.00003,286.4726,2299.4727,0.0032480857,569.7269
5749.349,36.902584,37.1618,29.61126,0.011571438,42.73802,-73.804306,0.32337722,279.14993,374.00003,286.4726,2299.4727,0.0032480857,547.5239
5749.5493,37.6534,37.9202,29.611256,0.011559408,42.738056,-73.80431,0.3200679,279.156,374.00003,286.4726,2299.4727,0.0032480857,550.9718
5749.7495,38.399216,38.66865,29.611246,0.011541289,42.738094,-73.80431,0.30970183,279.16516,374.00003,286.4534,2299.4534,0.0032480857,554.72565
5749.9497,39.140312,39.410824,29.611225,0.011502675,42.73813,-73.80432,0.32308254,279.1847,374.00003,286.4534,2299.4534,0.0032480857,521.7229
5750.15,39.87695,40.146137,29.611208,0.0114628235,42.738167,-73.80433,0.3183352,279.20483,374.00003,286.4534,2299.4534,0.0032480857,513.48755
5750.35,40.60938,40.879448,29.611189,0.011428566,42.7382,-73.80433,0.321389,279.22217,374.00003,286.4534,2299.4534,0.0032480857,479.2016
5750.5503,41.33482,41.609646,29.611172,0.011395743,42.73824,-73.80434,0.3416832,279.23877,374.00003,286.4534,2299.4534,0.0032480857,419.90674
5750.7505,42.053635,42.33167,29.611166,0.011383664,42.738277,-73.804344,0.3438578,279.24487,374.00003,286.43417,2299.4343,0.0032480857,399.24756
5750.9507,42.76616,43.047802,29.611172,0.011395149,42.73832,-73.804344,0.3488675,279.23904,374.00003,286.43417,2299.4343,0.0032480857,376.04034
5751.151,43.472706,43.75907,29.611187,0.011421635,42.738358,-73.80435,0.3692695,279.22568,374.00003,286.43417,2299.4343,0.0032480857,335.64413
5751.351,44.17637,44.46363,29.611208,0.011467625,42.7384,-73.80436,0.3754256,279.20242,374.00003,286.43417,2299.4343,0.0032480857,327.76804
5751.5513,44.87451,45.162964,29.611238,0.011529903,42.73844,-73.80437,0.36830422,279.17093,374.00003,286.43417,2299.4343,0.0032480857,337.25555
5751.7515,45.56739,45.85534,29.611269,0.011590448,42.738483,-73.80437,0.37052143,279.14032,374.00003,286.41495,2299.4148,0.0032480857,321.27893
5751.9517,46.249897,46.54069,29.611296,0.011636786,42.738525,-73.804375,0.37539044,279.11688,374.00003,286.41495,2299.4148,0.0032480857,298.62195
5752.152,46.927753,47.21916,29.61131,0.011665054,42.738567,-73.804375,0.3657979,279.1026,374.00003,286.41495,2299.4148,0.0032480857,303.36124
5752.352,47.59075,47.88777,29.611311,0.011671192,42.738613,-73.80438,0.34832355,279.0995,374.00003,286.41495,2299.4148,0.0032480857,326.65848
5752.5522,48.247204,48.550903,29.6113,0.0116470335,42.738655,-73.80439,0.34227085,279.1117,374.00003,286.41495,2299.4148,0.0032480857,315.15915
5752.7524,48.899914,49.205765,29.611275,0.011597775,42.7387,-73.80439,0.34943742,279.1366,374.00003,286.39526,2299.3953,0.0032480857,280.07623
5752.9526,49.54402,49.85539,29.611246,0.011539062,42.738747,-73.8044,0.35927516,279.1663,374.00003,286.39526,2299.3953,0.0032480857,250.68655
5753.153,50.18727,50.498795,29.611221,0.011489903,42.738792,-73.8044,0.36554402,279.19113,374.00003,286.39526,2299.3953,0.0032480857,247.30428
5753.353,50.824814,51.139248,29.611208,0.011462774,42.738842,-73.804405,0.3723452,279.20486,374.00003,286.39526,2299.3953,0.0032480857,250.32248
5753.553,51.461678,51.777344,29.611208,0.011465348,42.738888,-73.80441,0.384642,279.20355,374.00003,286.39526,2299.3953,0.0032480857,243.7615
