time,vind_kias,prs,tmp,alt_msl,curr_w
2780.12695,28.90064,30.08708,15.02281,867.46606,2181.06152
2780.3269,29.75486,30.0871,15.02286,867.44006,2181.06152
2780.52661,30.60237,30.08713,15.0229,867.41992,2181.06152
2780.73193,31.51456,30.08715,15.02295,867.39465,2181.04297
2780.93677,32.3322,30.08718,15.023,867.36694,2181.04297
2781.13647,33.16526,30.0872,15.02305,867.34344,2181.04297
2781.33643,33.98949,30.08722,15.02309,867.32147,2181.04297
2781.53687,34.80928,30.08724,15.02313,867.30359,2181.04297
2781.73682,35.62125,30.08726,15.02316,867.28864,2181.02441
2781.93188,36.42592,30.08726,15.02316,867.28748,2181.02441
2782.13184,37.22024,30.08726,15.02317,867.28455,2181.02441
2782.33228,38.01522,30.08725,15.02315,867.29865,2181.02441
2782.53198,38.80743,30.08723,15.02311,867.31506,2181.02441
2782.73682,39.59042,30.08721,15.02307,867.33923,2181.00586
2782.93701,40.36472,30.08718,15.023,867.37225,2181.00586
2783.13672,41.13719,30.08715,15.02295,867.401,2181.00586
2783.33691,41.89543,30.08711,15.02287,867.43872,2181.00586
2783.53687,42.65249,30.08708,15.02282,867.46527,2181.00586
2783.73682,43.40541,30.08705,15.02276,867.49323,2180.98755
2783.93677,44.15143,30.08704,15.02273,867.50922,2180.98755
2784.13672,44.8909,30.08703,15.02271,867.51715,2180.98755
2784.33667,45.62413,30.08703,15.02271,867.51532,2180.98755
2784.53687,46.3486,30.08704,15.02274,867.50018,2180.98755
2784.73193,47.06191,30.08706,15.02277,867.48309,2180.98755
2784.93726,47.77281,30.08709,15.02283,867.45703,2180.96875
2785.13721,48.4787,30.08711,15.02287,867.43085,2180.96875
2785.33228,49.18246,30.08714,15.02293,867.40729,2180.96875
2785.54688,49.94199,30.08716,15.02297,867.38165,2180.96875
2785.74683,50.59171,30.08717,15.02299,867.37292,2180.96875
2785.95654,51.31506,30.08718,15.02301,867.36853,2180.94995
2786.15698,51.97285,30.08717,15.02299,867.37726,2180.94995
2786.35156,52.63489,30.08715,15.02296,867.39301,2180.94995
2786.56689,53.35513,30.08713,15.02291,867.41943,2180.94995
2786.76636,53.9905,30.08711,15.02287,867.43805,2180.94995
2786.9668,54.63049,30.08707,15.02281,867.47229,2180.93091
2787.16699,55.26545,30.08704,15.02275,867.5022,2180.93091
2787.36694,55.8838,30.08702,15.02269,867.53217,2180.93091
